type,value,context,score,reason
regkey,HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\rasman\parameters,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\portcls,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\mssmbios,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\monitor,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\Tcpip\Parameters\Interfaces\{ea6fd18d-f89d-4a0c-8a5d-902b6821bfef},registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\Tcpip\Parameters\Interfaces\{62c568d8-8570-11ee-89bd-806e6f6e6963},registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\Tcpip\Parameters\Interfaces\\{ea6fd18d-f89d-4a0c-8a5d-902b6821bfef},registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\Tcpip\Parameters\Interfaces\\{62c568d8-8570-11ee-89bd-806e6f6e6963},registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\Tcpip\Parameters\Interfaces,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\Tcpip\Parameters,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\Tcpip6\Parameters\Interfaces\{ea6fd18d-f89d-4a0c-8a5d-902b6821bfef},registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\Tcpip6\Parameters\Interfaces\{62c568d8-8570-11ee-89bd-806e6f6e6963},registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\Tcpip6\Parameters\Interfaces\\{ea6fd18d-f89d-4a0c-8a5d-902b6821bfef},registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\Tcpip6\Parameters\Interfaces\\{62c568d8-8570-11ee-89bd-806e6f6e6963},registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\Tcpip6\Parameters\Interfaces,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\NDIS,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\HDAudBus,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\DNS,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\AmdPPM,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\ACPI,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\crypt32,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\NetBT\Parameters,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\Dnscache\\InterfaceSpecificParameters\{ea6fd18d-f89d-4a0c-8a5d-902b6821bfef},registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\Dnscache\\InterfaceSpecificParameters\{62c568d8-8570-11ee-89bd-806e6f6e6963},registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\Dnscache\Parameters,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\Dnscache\InterfaceSpecificParameters,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\DAM\PowerEvents,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\mssmbios\MofImagePath,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\mssmbios\ImagePath,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\monitor\MofImagePath,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\monitor\ImagePath,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\crypt32\DiagMatchAnyMask,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\crypt32\DiagLevel,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\crypt32\,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Tcpip\Parameters\UseDomainNameDevolution,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Tcpip\Parameters\UpdateSecurityLevel,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Tcpip\Parameters\SearchList,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Tcpip\Parameters\PrioritizeRecordData,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Tcpip\Parameters\MaxNumberOfAddressesToRegister,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Tcpip\Parameters\Interfaces\{ea6fd18d-f89d-4a0c-8a5d-902b6821bfef}\SearchList,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Tcpip\Parameters\Interfaces\{ea6fd18d-f89d-4a0c-8a5d-902b6821bfef}\RegistrationEnabled,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Tcpip\Parameters\Interfaces\{ea6fd18d-f89d-4a0c-8a5d-902b6821bfef}\RegisterAdapterName,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Tcpip\Parameters\Interfaces\{ea6fd18d-f89d-4a0c-8a5d-902b6821bfef}\QueryAdapterName,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Tcpip\Parameters\Interfaces\{ea6fd18d-f89d-4a0c-8a5d-902b6821bfef}\ProfileNameServer,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Tcpip\Parameters\Interfaces\{ea6fd18d-f89d-4a0c-8a5d-902b6821bfef}\NameServer,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Tcpip\Parameters\Interfaces\{ea6fd18d-f89d-4a0c-8a5d-902b6821bfef}\EnableMulticast,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Tcpip\Parameters\Interfaces\{ea6fd18d-f89d-4a0c-8a5d-902b6821bfef}\Domain,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Tcpip\Parameters\Interfaces\{ea6fd18d-f89d-4a0c-8a5d-902b6821bfef}\DhcpNameServer,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Tcpip\Parameters\Interfaces\{ea6fd18d-f89d-4a0c-8a5d-902b6821bfef}\DhcpDomainSearchList,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Tcpip\Parameters\Interfaces\{ea6fd18d-f89d-4a0c-8a5d-902b6821bfef}\DhcpDomain,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Tcpip\Parameters\Interfaces\{ea6fd18d-f89d-4a0c-8a5d-902b6821bfef},registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Tcpip\Parameters\Interfaces\{62c568d8-8570-11ee-89bd-806e6f6e6963}\SearchList,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Tcpip\Parameters\Interfaces\{62c568d8-8570-11ee-89bd-806e6f6e6963}\RegistrationEnabled,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Tcpip\Parameters\Interfaces\{62c568d8-8570-11ee-89bd-806e6f6e6963}\RegisterAdapterName,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Tcpip\Parameters\Interfaces\{62c568d8-8570-11ee-89bd-806e6f6e6963}\QueryAdapterName,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Tcpip\Parameters\Interfaces\{62c568d8-8570-11ee-89bd-806e6f6e6963}\ProfileNameServer,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Tcpip\Parameters\Interfaces\{62c568d8-8570-11ee-89bd-806e6f6e6963}\NameServer,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Tcpip\Parameters\Interfaces\{62c568d8-8570-11ee-89bd-806e6f6e6963}\EnableMulticast,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Tcpip\Parameters\Interfaces\{62c568d8-8570-11ee-89bd-806e6f6e6963}\Domain,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Tcpip\Parameters\Interfaces\{62c568d8-8570-11ee-89bd-806e6f6e6963}\DhcpNameServer,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Tcpip\Parameters\Interfaces\{62c568d8-8570-11ee-89bd-806e6f6e6963}\DhcpDomainSearchList,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Tcpip\Parameters\Interfaces\{62c568d8-8570-11ee-89bd-806e6f6e6963}\DhcpDomain,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Tcpip\Parameters\Interfaces\{62c568d8-8570-11ee-89bd-806e6f6e6963},registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Tcpip\Parameters\Hostname,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Tcpip\Parameters\EnableAdapterDomainNameRegistration,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Tcpip\Parameters\Domain,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Tcpip\Parameters\DnsQuickQueryTimeouts,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Tcpip\Parameters\DnsQueryTimeouts,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Tcpip\Parameters\DisableWanDynamicUpdate,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Tcpip\Parameters\DisableReverseAddressRegistrations,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Tcpip\Parameters\DisableDynamicUpdate,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Tcpip\Parameters\DisableAdapterDomainName,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Tcpip\Parameters\DefaultRegistrationTTL,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Tcpip\Parameters\DefaultRegistrationRefreshInterval,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Tcpip\Parameters\AllowUnqualifiedQuery,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Tcpip6\Parameters\Interfaces\{ea6fd18d-f89d-4a0c-8a5d-902b6821bfef}\SearchList,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Tcpip6\Parameters\Interfaces\{ea6fd18d-f89d-4a0c-8a5d-902b6821bfef}\ProfileNameServer,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Tcpip6\Parameters\Interfaces\{ea6fd18d-f89d-4a0c-8a5d-902b6821bfef}\NameServer,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Tcpip6\Parameters\Interfaces\{ea6fd18d-f89d-4a0c-8a5d-902b6821bfef}\Dhcpv6Domain,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Tcpip6\Parameters\Interfaces\{ea6fd18d-f89d-4a0c-8a5d-902b6821bfef}\DhcpRACoexistenceEnabled,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Tcpip6\Parameters\Interfaces\{ea6fd18d-f89d-4a0c-8a5d-902b6821bfef},registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\Tcpip6\Parameters\Interfaces\{62c568d8-8570-11ee-89bd-806e6f6e6963},registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\RasMan\Parameters\ForceCmdLowerCase,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\NetBT\Parameters\ScopeId,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\NetBT\Parameters\NodeType,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\NetBT\Parameters\EnableProxy,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\NetBT\Parameters\EnableDns,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\NetBT\Parameters\DhcpScopeId,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\NetBT\Parameters\DhcpNodeType,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\NDIS\MofImagePath,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\NDIS\ImagePath,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\HDAudBus\MofImagePath,registry,50,persistence_pattern
regkey,HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Services\HDAudBus\ImagePath,registry,50,persistence_pattern
